evaluation_mode,normalization,classifier,feature_name,fold_count,variance_survival_count,variance_survival_frequency,top_k_survival_count,top_k_survival_frequency,final_selection_count,final_selection_frequency,variance_removal_count,top_k_removal_count,correlation_pruning_removal_count,median_ranking_position,mean_ranking_position,ranking_position_standard_deviation,median_model_input_position,mean_model_input_position,mean_feature_importance,median_feature_importance,feature_importance_standard_deviation,minimum_feature_importance,maximum_feature_importance,importance_cv,stability_category
common_rows,none,random_forest,higuchi_fractal_dimension,20,20,1.0,18,0.9,18,0.9,0,2,0,9.0,11.45,5.889106803868343,8.0,8.777777777777779,0.03424536011050465,0.0350631338991413,0.005983714070846906,0.024753327193181,0.0503544867706942,0.17473065114626787,very_high
common_rows,none,random_forest,detrended_fluctuation_analysis,20,20,1.0,19,0.95,19,0.95,0,1,0,12.0,13.05,4.547700402111865,10.0,10.526315789473685,0.03238861872418311,0.033014386384009956,0.003570505368457549,0.0232284712333967,0.0385285985198468,0.11023950724368542,very_high
common_rows,none,random_forest,mean_frequency,20,20,1.0,0,0.0,0,0.0,0,20,0,24.5,24.2,2.092593455122388,,,0.023204062159303984,0.022801696285772,0.0016431183356533697,0.0210790296312688,0.0265804222959695,0.07081166755944666,low
common_rows,none,random_forest,median_frequency,20,20,1.0,20,1.0,10,0.5,0,0,10,14.0,13.75,4.290442254225327,10.5,9.9,0.03199946476421935,0.03110270802630885,0.004615580994886164,0.026879019456442,0.0496376908675096,0.14423931865407763,moderate
common_rows,none,random_forest,spectral_edge_frequency_95,20,20,1.0,20,1.0,20,1.0,0,0,0,4.0,4.0,1.4867838833500564,4.0,3.95,0.04492022952267617,0.04549083989364,0.004304234171987456,0.0351918507678268,0.050453385697712,0.09581950532587187,very_high
common_rows,none,random_forest,spectral_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,7.0,6.95,2.258900524358558,6.0,6.5,0.038517986835025525,0.0385571663110561,0.003207636118882756,0.0345022468953471,0.0460262261706146,0.08327631796078083,very_high
common_rows,none,random_forest,AvgSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,32.0,31.95,0.22360679774997894,,,0.01605793664811457,0.015835059427066298,0.0010062531398937061,0.0146578484156595,0.0182490882703763,0.06266391267721526,low
common_rows,none,random_forest,MaxSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,29.0,27.55,3.1535276821529985,,,0.020795291556616732,0.02052316134535025,0.0019516870934657713,0.0181709123278226,0.0248777425854409,0.09385235538305187,low
common_rows,none,random_forest,MedianSampEn,20,20,1.0,12,0.6,12,0.6,0,8,0,20.0,19.0,4.279695021106551,14.0,13.583333333333334,0.027764223249037913,0.0275306977472446,0.0034001744836231235,0.0206551911027411,0.0354274853169186,0.1224660403111024,moderate
common_rows,none,random_forest,StdSampEn,20,20,1.0,11,0.55,11,0.55,0,9,0,20.0,20.6,3.5153797429071734,14.0,14.090909090909092,0.02621838668380876,0.0267280970197789,0.002804909948074053,0.0217303593085907,0.0309011944874587,0.10698255319448138,moderate
common_rows,none,random_forest,KurtosisSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,26.0,26.1,2.6337885460422137,,,0.02183060267787685,0.022026409291589152,0.0019787105306243013,0.0177215171030862,0.0250896370013885,0.09063929932770606,low
common_rows,none,random_forest,SkewnessSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,28.0,28.2,1.908430051942668,,,0.02069286593172213,0.02082791632590375,0.0011180371121198543,0.0183912649022872,0.0224518477639157,0.054030075669987555,low
common_rows,none,random_forest,AUC_SampEn,20,20,1.0,20,1.0,20,1.0,0,0,0,8.0,8.45,3.410124245305594,8.0,7.75,0.03709257611059332,0.03648114080366095,0.0047463124989964986,0.0291012006937336,0.0477107901160147,0.12795855658137997,very_high
native_rows,calibration_median,extra_trees,minimum,20,20,1.0,0,0.0,0,0.0,0,20,0,25.0,25.05,1.9861361590045288,,,0.020124343641106504,0.0201461034427877,0.0018527739227992492,0.0160869069725422,0.0230968214149796,0.09206630317198149,low
native_rows,calibration_median,extra_trees,maximum,20,20,1.0,1,0.05,1,0.05,0,19,0,24.5,24.4,2.5214866124653734,15.0,15.0,0.020564888688093596,0.0208505228378567,0.0023829858349862436,0.0139163149810679,0.0240833186717649,0.1158764275911649,low
native_rows,calibration_median,extra_trees,mean,20,20,1.0,0,0.0,0,0.0,0,20,0,34.0,34.0,0.0,,,0.007981540716827402,0.0080430333092586,0.0008151008699760502,0.0054142936018711,0.0091651596777493,0.1021232489934658,low
native_rows,calibration_median,extra_trees,median,20,20,1.0,20,1.0,20,1.0,0,0,0,1.0,1.15,0.36634754853252327,1.0,1.15,0.07222812516770219,0.07286902075168825,0.007190120500474276,0.056045725138244,0.0809013480386564,0.09954737830699555,very_high
native_rows,calibration_median,extra_trees,kurtosis,20,20,1.0,18,0.9,18,0.9,0,2,0,15.0,14.7,3.628831912975796,12.0,11.777777777777779,0.03017541693941317,0.030089653833629798,0.0035804888484658065,0.0226825964425488,0.0360137590464356,0.11865582025444045,very_high
native_rows,calibration_median,extra_trees,skewness,20,20,1.0,20,1.0,20,1.0,0,0,0,7.5,8.2,3.2702808506465106,7.0,7.4,0.03819832953425916,0.0378053004428104,0.0041229432347977685,0.0321690722884334,0.0470619693863097,0.10793517112050673,very_high
native_rows,calibration_median,extra_trees,mean_absolute_value,20,20,1.0,17,0.85,17,0.85,0,3,0,18.0,17.3,3.9349981609037368,14.0,13.294117647058824,0.02765695813409269,0.0267922030006158,0.0037726153462469604,0.0214117552802719,0.0388549192948489,0.13640745768047655,high
native_rows,calibration_median,extra_trees,root_mean_square,20,20,1.0,7,0.35,7,0.35,0,13,0,22.0,21.25,2.29128784747792,16.0,15.285714285714286,0.02378270642131194,0.0235448902157,0.0022860759618603126,0.0198313364294181,0.0306239254218719,0.09612345716094511,low
native_rows,calibration_median,extra_trees,peak_to_peak,20,20,1.0,0,0.0,0,0.0,0,20,0,29.0,28.6,1.5694450913417908,,,0.016685735663160707,0.01626416487515195,0.0011644965681288438,0.0144012783911352,0.0192229360560004,0.0697899446351566,low
native_rows,calibration_median,extra_trees,waveform_length,20,20,1.0,20,1.0,20,1.0,0,0,0,6.0,7.45,3.7623480910057667,6.0,6.75,0.04052359417497505,0.0396982183011555,0.006911000910012579,0.0308410815588416,0.0573078862426439,0.17054264437087863,very_high
native_rows,calibration_median,extra_trees,zero_crossing_count,20,20,1.0,0,0.0,0,0.0,0,20,0,27.0,26.75,1.118033988749895,,,0.018493118304791393,0.01852398692485125,0.0016923781207496924,0.0159848107870562,0.0226840288700939,0.09151394009690692,low
native_rows,calibration_median,extra_trees,slope_sign_change_count,20,20,1.0,20,1.0,20,1.0,0,0,0,10.0,10.85,4.648429276308516,9.0,9.7,0.03442582361917024,0.03474318433029995,0.006362154310334615,0.0256130427273514,0.048046087524427,0.1848076136308271,very_high
native_rows,calibration_median,extra_trees,approximate_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,6.0,7.6,3.9256243217849405,6.0,6.9,0.03945805897349731,0.0393466044375609,0.006304258114523179,0.029287412011861,0.0538784955289035,0.15977111592735832,very_high
native_rows,calibration_median,extra_trees,permutation_entropy,20,20,1.0,18,0.9,0,0.0,0,2,18,15.5,15.4,4.083342284272324,,,0.02907791707772901,0.0290147742275987,0.004241950690772048,0.0213998302900031,0.0384156265014443,0.1458822060546073,low
native_rows,calibration_median,extra_trees,fuzzy_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,2.0,2.2,0.6958523739384594,2.0,2.2,0.06005190497976729,0.06206309092376615,0.0072835691036533595,0.0437906235815934,0.0721118404115792,0.12128789429922901,very_high
native_rows,calibration_median,extra_trees,distribution_entropy,20,20,1.0,0,0.0,0,0.0,0,20,0,32.0,32.2,0.6155870112510924,,,0.012932602433730036,0.012959809552514651,0.0009350756062367803,0.0104960666262652,0.0142915377200622,0.07230374636724102,low
native_rows,calibration_median,extra_trees,svd_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,3.0,3.15,1.0399898784932577,3.0,3.15,0.05356206369303188,0.053642572793929144,0.007121150611487598,0.0417190700869885,0.0649129298470062,0.13295138612095744,very_high
native_rows,calibration_median,extra_trees,lempel_ziv_complexity,20,20,1.0,20,1.0,20,1.0,0,0,0,5.5,6.05,2.30502882731146,5.5,5.7,0.04111055668412076,0.041685643114777945,0.005335677554932989,0.0311426864701492,0.054574251251636,0.12978850167197886,very_high
native_rows,calibration_median,extra_trees,hjorth_mobility,20,20,1.0,20,1.0,0,0.0,0,0,20,11.5,11.6,3.604091242492416,,,0.033240163523221844,0.03330289724034015,0.0045461619212190585,0.0256810006459495,0.0428592718662195,0.13676713467558826,low
native_rows,calibration_median,extra_trees,hjorth_complexity,20,20,1.0,10,0.5,9,0.45,0,10,1,20.5,20.55,3.2521248114845904,15.0,14.88888888888889,0.02404179861682077,0.024526216407636553,0.002747318364395983,0.0176896433245832,0.0293401914564641,0.11427258035818626,low
native_rows,calibration_median,extra_trees,katz_fractal_dimension,20,20,1.0,0,0.0,0,0.0,0,20,0,33.0,32.65,0.5871429486124,,,0.012169464029483395,0.0122389902425284,0.000994662760039212,0.0099496458580695,0.0135501114248637,0.08173431119311475,low
native_rows,calibration_median,extra_trees,higuchi_fractal_dimension,20,20,1.0,14,0.7,14,0.7,0,6,0,19.5,19.55,3.940010686600522,14.5,14.071428571428571,0.025461834059182214,0.025384405378616498,0.0032083644784390037,0.0195246803614186,0.0309698929668096,0.1260068096815666,moderate
native_rows,calibration_median,extra_trees,detrended_fluctuation_analysis,20,20,1.0,19,0.95,19,0.95,0,1,0,14.5,14.45,3.9666371810786765,12.0,11.526315789473685,0.03051257722360115,0.03030110439266495,0.004271282014597501,0.0225249813341268,0.0383182912186449,0.13998430821811111,very_high
native_rows,calibration_median,extra_trees,mean_frequency,20,20,1.0,20,1.0,0,0.0,0,0,20,15.0,14.9,2.653696528082647,,,0.029872730759818212,0.0295728720201118,0.003425482151649989,0.0238375902318733,0.0369436476017662,0.11466920045547369,low
native_rows,calibration_median,extra_trees,median_frequency,20,20,1.0,20,1.0,20,1.0,0,0,0,11.0,10.7,3.700640058436549,10.0,9.6,0.034552537556359696,0.0342532879256707,0.004630330065995432,0.0275341094540116,0.0438900526576765,0.1340083939838792,very_high
native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,20,20,1.0,20,1.0,0,0.0,0,0,20,9.5,10.55,3.9533463506782516,,,0.03517408819587657,0.03550859148483365,0.005989132062460525,0.0276445483016909,0.0533308709853703,0.17027113905862742,low
native_rows,calibration_median,extra_trees,spectral_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,10.5,10.65,3.0655127501043986,10.0,9.4,0.03484736132438583,0.0331575693835135,0.0044963901404076675,0.0279092625520005,0.0447895710150592,0.12903100750016155,very_high
native_rows,calibration_median,extra_trees,AvgSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,30.5,30.4,0.8207826816681233,,,0.015182767632352434,0.0148763977611032,0.0012856869072917652,0.0127154436754354,0.0178994259469372,0.08468066813801059,low
native_rows,calibration_median,extra_trees,MaxSampEn,20,20,1.0,7,0.35,7,0.35,0,13,0,22.0,21.45,3.456115860631015,14.0,14.142857142857142,0.02323553195612834,0.023001949141574198,0.003123695796698915,0.0176855395792472,0.0287187161790829,0.13443616451720808,low
native_rows,calibration_median,extra_trees,MedianSampEn,20,20,1.0,19,0.95,19,0.95,0,1,0,8.0,8.95,4.547700402111865,7.0,7.2631578947368425,0.036809113296455795,0.03714374212260475,0.005313964929411851,0.0195522146529749,0.0453386806395512,0.14436546967632366,very_high
native_rows,calibration_median,extra_trees,StdSampEn,20,20,1.0,3,0.15,3,0.15,0,17,0,24.0,23.05,2.4596747752497685,15.0,15.333333333333334,0.02185185384314379,0.02154688148180755,0.0027164880650228525,0.0173889101155617,0.026963439054585,0.12431384927440262,low
native_rows,calibration_median,extra_trees,KurtosisSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,28.0,28.15,0.9333020044867295,,,0.01702422878660504,0.01681098297308695,0.0012491482504875693,0.0149230496082748,0.0191621778694544,0.0733747335133572,low
native_rows,calibration_median,extra_trees,SkewnessSampEn,20,20,1.0,0,0.0,0,0.0,0,20,0,30.0,30.15,1.0399898784932577,,,0.01514662003291865,0.01511871737427185,0.0010307093145099624,0.0132672665194079,0.0172261801468527,0.06804879981605717,low
native_rows,calibration_median,extra_trees,AUC_SampEn,20,20,1.0,7,0.35,7,0.35,0,13,0,21.0,20.95,2.781044862334261,16.0,15.142857142857142,0.023843644316864258,0.02415871563192865,0.0027591209663506183,0.0200703092459256,0.0318169470009671,0.11571725067208509,low
native_rows,calibration_median,logistic_regression,minimum,20,20,1.0,0,0.0,0,0.0,0,20,0,25.0,25.05,1.9861361590045288,,,0.020124343641106504,0.0201461034427877,0.0018527739227992492,0.0160869069725422,0.0230968214149796,0.09206630317198149,low
native_rows,calibration_median,logistic_regression,maximum,20,20,1.0,1,0.05,1,0.05,0,19,0,24.5,24.4,2.5214866124653734,15.0,15.0,0.020564888688093596,0.0208505228378567,0.0023829858349862436,0.0139163149810679,0.0240833186717649,0.1158764275911649,low
native_rows,calibration_median,logistic_regression,mean,20,20,1.0,0,0.0,0,0.0,0,20,0,34.0,34.0,0.0,,,0.007981540716827402,0.0080430333092586,0.0008151008699760502,0.0054142936018711,0.0091651596777493,0.1021232489934658,low
native_rows,calibration_median,logistic_regression,median,20,20,1.0,20,1.0,20,1.0,0,0,0,1.0,1.15,0.36634754853252327,1.0,1.15,0.07222812516770219,0.07286902075168825,0.007190120500474276,0.056045725138244,0.0809013480386564,0.09954737830699555,very_high
native_rows,calibration_median,logistic_regression,kurtosis,20,20,1.0,18,0.9,18,0.9,0,2,0,15.0,14.7,3.628831912975796,12.0,11.777777777777779,0.03017541693941317,0.030089653833629798,0.0035804888484658065,0.0226825964425488,0.0360137590464356,0.11865582025444045,very_high
